mac,kwhh
MAC000254,9345.081001
MAC000255,14138.7410015
MAC000256,20388.3180012
MAC000257,20857.1949975
MAC000258,6645.0029978
MAC000259,8869.724999
MAC000260,5950.8740006
MAC000261,6023.7590002
MAC000262,13901.1719994
MAC000263,3750.9669999
MAC000264,7018.591
MAC000265,6663.2149997
MAC000266,4759.4920008
MAC000267,8790.7330004
MAC000268,3731.3950006
MAC000269,2394.469
MAC000270,15558.4510014
MAC000271,7238.0609996
MAC000272,8701.7119981
MAC000273,3619.3930023
MAC000274,28700.2209972
MAC000275,5558.0979988
MAC000276,11050.3170008
MAC000277,8439.6139993
MAC000278,4487.6539994
MAC000279,3441.7239995
MAC000280,12590.5080006
MAC000281,6278.0879997
MAC000282,4455.6110006
MAC000283,5023.2610001
MAC000284,1293.003
MAC000285,2396.879
MAC000286,9163.7559986
MAC000287,1406.6540001
MAC000288,7456.0229985
MAC000289,4765.4029988
MAC000290,4955.67
MAC000291,13450.9119987
MAC000292,3715.465
MAC000293,4973.1439996
MAC000294,9473.8849997
MAC000295,7746.245
MAC000296,13556.5450009
MAC000297,5651.5040007
MAC000298,2768.435
MAC000299,10211.2080002
MAC000300,6199.7150009
MAC000301,6931.7600006
MAC000302,5496.0740001
MAC000303,5040.1930001
MAC000304,8108.4090009
MAC000305,4085.4830001
MAC000306,5259.2040006
MAC000307,29514.4110025
MAC000308,3287.8050006
MAC000309,13786.0900011
MAC000310,4483.2139999
MAC000311,11051.006998
MAC000312,15523.0850038
MAC000313,10027.0730001
MAC000314,4017.748
MAC000315,3294.2530002
MAC000316,2870.9829998
MAC000317,5712.0289998
MAC000318,5852.1209986
MAC000319,5559.9470005
MAC000320,9011.7299987
MAC000321,27708.4849999
MAC000322,3691.973
MAC000323,11335.9370011
MAC000324,2059.7340001
MAC000325,334.561
MAC000326,11707.4380039
MAC000327,10737.0389945
MAC000328,3161.1049999
MAC000329,7113.1299999
MAC000330,4135.816
MAC000331,13078.8249981
MAC000332,5883.03
MAC000333,3295.98
MAC000334,3644.412
MAC000335,4414.349
MAC000336,4418.5330007
MAC000337,2172.218
MAC000338,7477.0540003
MAC000339,10150.0039994
MAC000340,6460.1330002
MAC000341,7742.8970001
MAC000342,7864.0779998
MAC000343,3652.2179997
MAC000344,2488.515
MAC000345,6890.0440001
MAC000346,6847.8180003
MAC000347,4241.1629999
MAC000348,3399.0609998
MAC000349,4159.3410005
MAC000350,6025.9470016
MAC000351,4139.5939998
MAC000352,7628.4249998
MAC000353,4435.5370001
MAC000354,11587.3310047
MAC000355,7165.0409994
MAC000356,3212.5320001
MAC000357,7753.2169997
MAC000358,20464.7859967
MAC000359,9565.4969994
MAC000360,6916.2920006
MAC000361,4900.5719999
MAC000362,2965.0069999
MAC000363,2310.4919998
MAC000364,1853.1049998
MAC000365,2065.091
MAC000366,4815.1840012
MAC000367,2701.51
MAC000368,2086.0090002
MAC000369,10294.4219987
MAC000370,10076.1969998
MAC000371,2793.819
MAC000372,8697.4590014
MAC000373,8547.4759991
MAC000374,2730.75
MAC000375,3533.84
MAC000376,6562.8459992
MAC000377,4340.6759999
MAC000378,3723.3559991
MAC000379,16787.0999992
MAC000380,3115.7869999
MAC000381,10334.0330003
MAC000382,5600.9220003
MAC000383,3920.5140004
MAC000384,2908.644
MAC000385,1916.701
MAC000386,8221.8189994
MAC000387,7474.8480002
MAC000388,6440.7219991
MAC000389,7654.1089994
MAC000390,8156.7359982
MAC000391,5328.3560008
MAC000392,1857.888
MAC000393,4734.8309995
MAC000394,6359.0909992
MAC000395,8378.4099994
MAC000396,7875.3439988
MAC000397,7173.7749999
MAC000398,8248.2189987
MAC000399,520.8349999
MAC000400,3480.9310004
MAC000401,6285.8150002
MAC000402,5184.9579997
MAC000403,4914.2790001
MAC000404,884.3670001
MAC000405,8312.4389996
MAC000406,4435.1140002
MAC000407,2306.8489999
MAC000408,366.977
MAC000409,21139.7380062
MAC000410,509.7219999
MAC000411,2681.2919999
MAC000412,5805.0470001
MAC000413,4706.0050001
MAC000414,4406.779
MAC000415,12127.7230004
MAC000416,6702.1550001
MAC000417,2771.84
MAC000418,3802.5890003
MAC000419,4946.515
MAC000420,11822.4719976
MAC000421,1986.9679999
MAC000422,4197.0310001
MAC000423,1967.097
MAC000424,4809.3330002
MAC000425,10095.9050004
MAC000426,4958.7730016
MAC000427,1022.002
MAC000428,5597.8270004
MAC000429,4911.3880004
MAC000430,4627.2320008
MAC000431,14695.2669975
MAC000432,1961.677
MAC000433,5926.2700011
MAC000434,4831.9429995
MAC000435,3942.8019995
MAC000436,3546.441
MAC000437,15306.7419989
MAC000438,2668.2349999
MAC000439,8783.4300006
MAC000440,12845.9449988
MAC000441,7273.7020014
MAC000442,3954.574
MAC000443,23655.3399956
MAC000444,4371.1519998
MAC000445,5689.6020011
MAC000446,6132.1579984
MAC000447,6845.4659998
MAC000448,3069.2460004
MAC000449,2710.955
MAC000450,30352.3049953
MAC000451,11612.4639994
MAC000452,13453.474001
MAC000453,9657.1029989
MAC000454,6739.4560006
MAC000455,17700.9659964
MAC000456,4244.8599997
MAC000457,2565.3240001
MAC000458,2121.164
MAC000459,4496.882
MAC000460,10948.1049991
MAC000461,12286.494999
MAC000462,8530.5639994
MAC000463,12160.6829963
MAC000464,3939.017
MAC000465,6958.9589982
MAC000466,6888.0310002
MAC000467,2336.1690003
MAC000468,13219.7790004
MAC000469,4419.8919995
MAC000470,5680.648
MAC000471,6861.2279999
MAC000472,3890.5149996
MAC000473,10681.7989996
MAC000474,6532.255
MAC000475,17392.4550024
MAC000476,4975.6330005
MAC000477,4473.8139999
MAC000478,8136.8199998
MAC000479,4362.1420001
MAC000480,18501.2089988
MAC000481,7461.9599999
MAC000482,6419.088001
MAC000483,5606.5439999
MAC000484,5799.8050029
MAC000485,2744.3449998
MAC000486,1772.8719996
MAC000487,7987.1200004
MAC000488,4745.457
MAC000489,3161.0049996
MAC000490,9495.6729985
MAC000491,2603.8029998
MAC000492,6679.6680004
MAC000493,2611.4519993
MAC000494,3270.0790001
MAC000495,1891.9990003
MAC000496,3339.5449998
MAC000497,9143.3110001
MAC000498,10161.8309969
MAC000499,4807.4450002
MAC000500,2379.735
MAC000501,5675.3429987
MAC000502,4166.8389999
MAC000503,4511.7579995
MAC000504,5995.1140007
MAC000505,5819.9729994
MAC000506,8056.9950004
MAC000507,7595.6270003
MAC000508,8540.9329983
MAC000509,6309.6310003
MAC000510,4992.1060002
MAC000511,8371.8010005
MAC000512,9223.5829987
MAC000513,1446.6469989
MAC000514,4811.3569994
MAC000515,3469.7720006
MAC000516,5621.815999
MAC000517,3286.5410008
MAC000518,4705.3690003
MAC000519,12834.4970005
MAC000520,5790.9380007
MAC000521,6488.3300003
MAC000522,15101.9419958
MAC000523,7075.1039985
MAC000524,9780.2620021
MAC000525,9762.5310015
MAC000526,7965.877
MAC000527,12332.1470012
MAC000528,5213.2980003
MAC000529,4851.168
MAC000530,14846.5929954
MAC000531,3687.2149999
MAC000532,5822.3159994
MAC000533,4993.308
MAC000534,1246.592
MAC000535,19053.0850042
MAC000536,8216.068
MAC000537,1316.8290002
MAC000538,3522.561
MAC000539,1251.806
MAC000540,3492.12
MAC000541,1480.2440002
MAC000542,5375.374
MAC000543,3140.7860001
MAC000544,6572.8029994
MAC000545,5132.6830001
MAC000546,2600.2619994
MAC000547,20220.2430036
MAC000548,15180.5719985
MAC000549,2424.621
MAC000550,14374.709002
MAC000551,1924.07
MAC000552,5463.7620013
MAC000553,4531.2419996
MAC000554,6383.5639991
MAC000555,15550.9619976
MAC000556,6409.7559999
MAC000557,44660.9030089
MAC000558,5958.0320001
MAC000559,3368.49
MAC000560,4722.76
MAC000561,6006.1500007
MAC000562,2602.4670001
MAC000563,3282.66
MAC000564,8073.6280012
MAC000565,3640.8419999
MAC000566,9323.5009988
MAC000567,2642.3820007
MAC000568,4139.7639999
MAC000569,24947.263996
MAC000570,7145.2480011
MAC000571,2380.615
MAC000572,5851.9939987
MAC000573,10079.593998
MAC000574,5340.9540002
MAC000575,4423.1919998
MAC000576,8399.7780013
MAC000577,11804.0589978
MAC000578,3292.2479988
MAC000579,3846.9989995
MAC000580,8200.0479982
MAC000581,5689.8620002
MAC000582,13033.3249983
MAC000583,5662.4359997
MAC000584,2048.74
MAC000585,2479.131
MAC000586,7208.5810002
MAC000587,2030.511
MAC000588,5662.0359995
MAC000589,4902.9239999
MAC000590,3442.459
MAC000591,5253.6480003
MAC000592,6256.609002
MAC000593,5708.6360001
MAC000594,4874.5590001
MAC000595,7315.3170009
MAC000596,19916.6910043
MAC000597,2543.202
MAC000598,4125.0510002
MAC000599,4360.7149999
MAC000600,8844.642002
MAC000601,3561.5079996
MAC000602,1002.093
MAC000603,1137.564
MAC000604,8840.5820004
MAC000605,5889.364001
MAC000606,2923.8780002
MAC000607,2423.2940003
MAC000608,2039.307
MAC000609,4769.0569991
MAC000610,8689.9120003
MAC000611,3739.6099992
MAC000612,11230.3400003
MAC000613,3036.244
MAC000614,7330.728999
MAC000615,1625.518
MAC000616,2584.143
MAC000617,2759.456
MAC000618,7025.5649992
MAC000619,1823.9920003
MAC000620,4011.5269998
MAC000621,10211.3010013
