temp,dewPoint,precipType,cloudCover,summary,apparentTemp,pressure,windSpeed,visibility,datetime,windBearing,humidity,icon
6.91 , 2.53 , rain , 0.31 , Partly Cloudy , 3.52 , 1008.18 , 12.31 , 8.1 , 2013-01-01 00:00:00 , 269 , 0.74 , partly-cloudy-night
7.14 , 1.77 , rain , 0.31 , Partly Cloudy , 3.71 , 1009.45 , 12.86 , 8.29 , 2013-01-01 02:00:00 , 274 , 0.69 , partly-cloudy-night
6.09 , 1.58 , rain , 0.31 , Partly Cloudy , 3.07 , 1010.71 , 9.48 , 8.29 , 2013-01-01 04:00:00 , 259 , 0.73 , partly-cloudy-night
5.55 , 1.62 , rain , 0.31 , Partly Cloudy , 2.16 , 1012.57 , 10.56 , 7.86 , 2013-01-01 06:00:00 , 257 , 0.76 , partly-cloudy-night
5.58 , 1.87 , rain , 0.57 , Partly Cloudy , 2.13 , 1014.08 , 10.87 , 8.53 , 2013-01-01 08:00:00 , 255 , 0.77 , partly-cloudy-night
5.04 , 1.99 , rain , 0.41 , Partly Cloudy , 1.88 , 1016.13 , 9.05 , 8.52 , 2013-01-01 10:00:00 , 258 , 0.81 , partly-cloudy-day
4.12 , 2.01 , rain , 0.54 , Partly Cloudy , 0.66 , 1017.75 , 9.39 , 8.14 , 2013-01-01 12:00:00 , 255 , 0.86 , partly-cloudy-day
3.43 , 1.99 , rain , 0.26 , Partly Cloudy , 0.41 , 1019.11 , 7.32 , 8.13 , 2013-01-01 14:00:00 , 245 , 0.9 , partly-cloudy-day
3.37 , 2.28 , rain , 0.2 , Clear , 0.19 , 1020.46 , 7.76 , 8.51 , 2013-01-01 16:00:00 , 245 , 0.93 , clear-night
3.59 , 2.32 , rain , 0.75 , Mostly Cloudy , 0.75 , 1022 , 6.92 , 7.84 , 2013-01-01 18:00:00 , 246 , 0.91 , partly-cloudy-night
4.89 , 3.2 , rain , 0.52 , Partly Cloudy , 2.27 , 1023.32 , 7.05 , 7.92 , 2013-01-01 20:00:00 , 245 , 0.89 , partly-cloudy-night
6.09 , 4.01 , rain , 0.46 , Partly Cloudy , 3.44 , 1024.42 , 8.02 , 7.66 , 2013-01-01 22:00:00 , 243 , 0.86 , partly-cloudy-night
4.12 , 2.01 , rain , 0.54 , Partly Cloudy , 0.66 , 1017.75 , 9.39 , 8.14 , 2013-01-02 00:00:00 , 255 , 0.86 , partly-cloudy-night
3.43 , 1.99 , rain , 0.26 , Partly Cloudy , 0.41 , 1019.11 , 7.32 , 8.13 , 2013-01-02 02:00:00 , 245 , 0.9 , partly-cloudy-night
3.37 , 2.28 , rain , 0.2 , Clear , 0.19 , 1020.46 , 7.76 , 8.51 , 2013-01-02 04:00:00 , 245 , 0.93 , clear-night
3.59 , 2.32 , rain , 0.75 , Mostly Cloudy , 0.75 , 1022 , 6.92 , 7.84 , 2013-01-02 06:00:00 , 246 , 0.91 , partly-cloudy-night
4.89 , 3.2 , rain , 0.52 , Partly Cloudy , 2.27 , 1023.32 , 7.05 , 7.92 , 2013-01-02 08:00:00 , 245 , 0.89 , partly-cloudy-night
6.09 , 4.01 , rain , 0.46 , Partly Cloudy , 3.44 , 1024.42 , 8.02 , 7.66 , 2013-01-02 10:00:00 , 243 , 0.86 , partly-cloudy-day
7.23 , 4.37 , rain , 0.68 , Mostly Cloudy , 4.93 , 1024.45 , 7.59 , 7.69 , 2013-01-02 12:00:00 , 228 , 0.82 , partly-cloudy-day
7.38 , 6.35 , rain , 0.88 , Mostly Cloudy , 4.56 , 1024.1 , 10 , 4.19 , 2013-01-02 14:00:00 , 215 , 0.93 , partly-cloudy-day
8.06 , 7.51 , rain , 0.82 , Mostly Cloudy , 5.57 , 1024.02 , 9.12 , 4.04 , 2013-01-02 16:00:00 , 222 , 0.96 , partly-cloudy-night
9.41 , 8.73 , rain , 0.79 , Mostly Cloudy , 6.89 , 1024.01 , 10.92 , 7.12 , 2013-01-02 18:00:00 , 242 , 0.96 , partly-cloudy-night
10.19 , 9.28 , rain , 0.79 , Mostly Cloudy , 10.19 , 1024.95 , 10.57 , 5.98 , 2013-01-02 20:00:00 , 249 , 0.94 , partly-cloudy-night
10.67 , 9.58 , rain , 0.79 , Mostly Cloudy , 10.67 , 1026.09 , 9.31 , 7.49 , 2013-01-02 22:00:00 , 257 , 0.93 , partly-cloudy-night
10.44 , 9.18 , rain , 0.59 , Partly Cloudy , 10.44 , 1027.08 , 10.85 , 7.38 , 2013-01-03 00:00:00 , 262 , 0.92 , partly-cloudy-night
10.1 , 9.15 , rain , 0.81 , Mostly Cloudy , 10.1 , 1027.99 , 9.95 , 6.6 , 2013-01-03 02:00:00 , 251 , 0.94 , partly-cloudy-night
9.99 , 9.01 , rain , 0.62 , Mostly Cloudy , 7.98 , 1028.94 , 9.03 , 6.44 , 2013-01-03 04:00:00 , 250 , 0.94 , partly-cloudy-night
9.57 , 8.76 , rain , 0.53 , Partly Cloudy , 7.1 , 1029.72 , 10.94 , 6.61 , 2013-01-03 06:00:00 , 247 , 0.95 , partly-cloudy-night
9.59 , 8.86 , rain , 0.76 , Mostly Cloudy , 7.09 , 1031.29 , 11.15 , 4.72 , 2013-01-03 08:00:00 , 254 , 0.95 , partly-cloudy-night
10.13 , 8.75 , rain , 0.56 , Partly Cloudy , 10.13 , 1032.65 , 10.39 , 7.08 , 2013-01-03 10:00:00 , 258 , 0.91 , partly-cloudy-day
10.82 , 9.22 , rain , 0.52 , Partly Cloudy , 10.82 , 1033.39 , 9.19 , 7.95 , 2013-01-03 12:00:00 , 256 , 0.9 , partly-cloudy-day
11.24 , 9.28 , rain , 0.55 , Partly Cloudy , 11.24 , 1033.65 , 10.18 , 8.1 , 2013-01-03 14:00:00 , 258 , 0.88 , partly-cloudy-day
10.73 , 9.02 , rain , 0.49 , Partly Cloudy , 10.73 , 1034.7 , 9.26 , 7.93 , 2013-01-03 16:00:00 , 249 , 0.89 , partly-cloudy-night
10.5 , 8.89 , rain , 0.53 , Partly Cloudy , 10.5 , 1035.55 , 8.47 , 8.21 , 2013-01-03 18:00:00 , 252 , 0.9 , partly-cloudy-night
10.64 , 9.04 , rain , 0.75 , Mostly Cloudy , 10.64 , 1036.11 , 10.05 , 8.1 , 2013-01-03 20:00:00 , 250 , 0.9 , partly-cloudy-night
10.96 , 9.08 , rain , 0.94 , Overcast , 10.96 , 1036.76 , 8.76 , 8.22 , 2013-01-03 22:00:00 , 254 , 0.88 , cloudy
10.64 , 8.52 , rain , 0.93 , Mostly Cloudy , 10.64 , 1036.95 , 10.91 , 8.19 , 2013-01-04 00:00:00 , 253 , 0.87 , partly-cloudy-night
10 , 7.99 , rain , 0.98 , Overcast , 10 , 1036.94 , 9.84 , 8.27 , 2013-01-04 02:00:00 , 259 , 0.87 , cloudy
9.63 , 7.52 , rain , 0.97 , Overcast , 7.12 , 1037.01 , 11.24 , 8.57 , 2013-01-04 04:00:00 , 261 , 0.87 , cloudy
9.58 , 7.1 , rain , 0.84 , Mostly Cloudy , 6.87 , 1037.06 , 12.37 , 8.57 , 2013-01-04 06:00:00 , 267 , 0.85 , partly-cloudy-night
9.34 , 6.49 , rain , 0.8 , Mostly Cloudy , 6.98 , 1037.52 , 9.98 , 8.05 , 2013-01-04 08:00:00 , 262 , 0.82 , partly-cloudy-night
9.42 , 6.1 , rain , 0.74 , Mostly Cloudy , 7.14 , 1037.95 , 9.64 , 8.03 , 2013-01-04 10:00:00 , 272 , 0.8 , partly-cloudy-day
9.56 , 6.15 , rain , 0.71 , Mostly Cloudy , 6.92 , 1037.75 , 11.91 , 8.05 , 2013-01-04 12:00:00 , 273 , 0.79 , partly-cloudy-day
9.94 , 6.94 , rain , 0.75 , Mostly Cloudy , 7.55 , 1036.99 , 10.96 , 8.05 , 2013-01-04 14:00:00 , 279 , 0.82 , partly-cloudy-day
9.62 , 7.33 , rain , 0.76 , Mostly Cloudy , 7.8 , 1037.03 , 7.73 , 8.05 , 2013-01-04 16:00:00 , 276 , 0.86 , partly-cloudy-night
9.37 , 7.48 , rain , 0.74 , Mostly Cloudy , 7.58 , 1036.8 , 7.39 , 7.53 , 2013-01-04 18:00:00 , 261 , 0.88 , partly-cloudy-night
8.83 , 7.76 , rain , 0.81 , Mostly Cloudy , 6.88 , 1037.1 , 7.59 , 6.47 , 2013-01-04 20:00:00 , 256 , 0.93 , partly-cloudy-night
8.49 , 7.49 , rain , 0.84 , Mostly Cloudy , 6.29 , 1036.73 , 8.34 , 4.16 , 2013-01-04 22:00:00 , 257 , 0.93 , partly-cloudy-night
7.99 , 7.21 , rain , 0.84 , Mostly Cloudy , 5.59 , 1036.6 , 8.7 , 4.05 , 2013-01-05 00:00:00 , 257 , 0.95 , partly-cloudy-night
7.92 , 7.17 , rain , 0.9 , Mostly Cloudy , 5.7 , 1036.32 , 7.85 , 4.31 , 2013-01-05 02:00:00 , 258 , 0.95 , partly-cloudy-night
7.94 , 7.19 , rain , 0.86 , Mostly Cloudy , 5.95 , 1035.76 , 7.04 , 3.75 , 2013-01-05 04:00:00 , 259 , 0.95 , partly-cloudy-night
8.02 , 7.54 , rain , 0.82 , Mostly Cloudy , 6.4 , 1035.29 , 5.85 , 3.7 , 2013-01-05 06:00:00 , 256 , 0.97 , partly-cloudy-night
8.59 , 7.95 , rain , 0.83 , Mostly Cloudy , 7.95 , 1035.81 , 3.55 , 2.82 , 2013-01-05 08:00:00 , 212 , 0.96 , partly-cloudy-night
9.01 , 8.59 , rain , 0.84 , Mostly Cloudy , 7.58 , 1036.03 , 5.83 , 4.11 , 2013-01-05 10:00:00 , 222 , 0.97 , partly-cloudy-day
